PRIMARY_DIAGNOSIS|SECONDARY_DIAGNOSIS|PRIMARY_DIAGNOSIS_DESC|PRIMARY_BLOCKS_OF_CATEGORIES|SECONDARY_DIAGNOSIS_DESC|SECONDARY_BLOCKS_OF_CATEGORIES|COUNT(DISTINCTCLAIMS_ID)
Z24|L20|need for immunization against certain single viral diseases|persons with potential health hazards related to communicable diseases|atopic dermatitis|dermatitis and eczema|24
Z24.0|L20|need immunization againts poliomyelitis (immunisasi polio)|persons with potential health hazards related to communicable diseases|atopic dermatitis|dermatitis and eczema|91
Z24.4|L20|need immunization againts measles alone|persons with potential health hazards related to communicable diseases|atopic dermatitis|dermatitis and eczema|8
Z25.1|L20|need immunization againts influenza|persons with potential health hazards related to communicable diseases|atopic dermatitis|dermatitis and eczema|9
Z27.1|L20|need for immunization againts diphtheria-tetanus-pertussis, combined [dtp]|persons with potential health hazards related to communicable diseases|atopic dermatitis|dermatitis and eczema|7
Z27.4|L20|need for immunisation against measles-mumps-rubella (mmr)|persons with potential health hazards related to communicable diseases|atopic dermatitis|dermatitis and eczema|9
I50|I48|heart failure (gagal jantung)|other forms of heart disease|atrial fibrillation and flutter|other forms of heart disease|11
I50.0|I48|congestive heart failure (gagal jantung kongestif)|other forms of heart disease|atrial fibrillation and flutter|other forms of heart disease|6
J00|F84.1|acute nasopharyngitis (common cold)|acute upper respiratory infections|atypical autism|disorders of psychological development|8
A01.0|A49|typhoid fever |intestinal infectious diseases|bacterial infection of unspecified site|other bacterial diseases|81
A09|A49|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|bacterial infection of unspecified site|other bacterial diseases|319
A15.0|A49|tuberculosis of lung|tuberculosis|bacterial infection of unspecified site|other bacterial diseases|8
A49|A49|bacterial infection of unspecified site|other bacterial diseases|bacterial infection of unspecified site|other bacterial diseases|6
A90|A49|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|bacterial infection of unspecified site|other bacterial diseases|54
A91|A49|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|bacterial infection of unspecified site|other bacterial diseases|57
B01|A49|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|bacterial infection of unspecified site|other bacterial diseases|13
B34|A49|viral infection of unspecified sites|other viral diseases|bacterial infection of unspecified site|other bacterial diseases|28
B34.9|A49|viral infection, unspecified|other viral diseases|bacterial infection of unspecified site|other bacterial diseases|35
B35.3|A49|tinea pedis|mycoses|bacterial infection of unspecified site|other bacterial diseases|7
B86|A49|scabies|pediculosis, acariasis and other infestations|bacterial infection of unspecified site|other bacterial diseases|27
E13|A49|other specified diabetes mellitus|diabetes mellitus|bacterial infection of unspecified site|other bacterial diseases|6
H82|A49|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|bacterial infection of unspecified site|other bacterial diseases|6
J00|A49|acute nasopharyngitis (common cold)|acute upper respiratory infections|bacterial infection of unspecified site|other bacterial diseases|24
J02|A49|acute pharyngitis|acute upper respiratory infections|bacterial infection of unspecified site|other bacterial diseases|166
J03|A49|acute tonsilitis|acute upper respiratory infections|bacterial infection of unspecified site|other bacterial diseases|24
J06|A49|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|bacterial infection of unspecified site|other bacterial diseases|318
J06.8|A49|other acute upper respiratory infections of multiple sites|acute upper respiratory infections|bacterial infection of unspecified site|other bacterial diseases|9
J18|A49|pneumonia|influenza and pneumonia|bacterial infection of unspecified site|other bacterial diseases|12
J18.0|A49|bronchopneumonia |influenza and pneumonia|bacterial infection of unspecified site|other bacterial diseases|40
J20|A49|acute bronchitis|other acute lower respiratory infections|bacterial infection of unspecified site|other bacterial diseases|28
J30.4|A49|allergic rhinitis|other diseases of upper respiratory tract|bacterial infection of unspecified site|other bacterial diseases|8
J31|A49|chronic rhinitis|other diseases of upper respiratory tract|bacterial infection of unspecified site|other bacterial diseases|9
J40|A49|bronchitis|chronic lower respiratory diseases|bacterial infection of unspecified site|other bacterial diseases|9
J45|A49|asthma|chronic lower respiratory diseases|bacterial infection of unspecified site|other bacterial diseases|21
K29.7|A49|gastritis|diseases of oesophagus, stomach and duodenum|bacterial infection of unspecified site|other bacterial diseases|11
K30|A49|dyspepsia|diseases of oesophagus, stomach and duodenum|bacterial infection of unspecified site|other bacterial diseases|72
L01|A49|impetigo|infections of the skin and subcutaneous tissue|bacterial infection of unspecified site|other bacterial diseases|7
L04|A49|acute lymphadenitis|infections of the skin and subcutaneous tissue|bacterial infection of unspecified site|other bacterial diseases|9
L08.0|A49|pyoderma|infections of the skin and subcutaneous tissue|bacterial infection of unspecified site|other bacterial diseases|11
L20|A49|atopic dermatitis|dermatitis and eczema|bacterial infection of unspecified site|other bacterial diseases|7
L21|A49|seborrhoic dermatitis (ketombe)|dermatitis and eczema|bacterial infection of unspecified site|other bacterial diseases|7
L23|A49|allergic contact dermatitis|dermatitis and eczema|bacterial infection of unspecified site|other bacterial diseases|26
L24|A49|irritant contact dermatitis|dermatitis and eczema|bacterial infection of unspecified site|other bacterial diseases|8
L30|A49|other dermatitis|dermatitis and eczema|bacterial infection of unspecified site|other bacterial diseases|44
L30.1|A49|dyshidrosis (pompholyx)|dermatitis and eczema|bacterial infection of unspecified site|other bacterial diseases|6
L30.9|A49|dermatitis|dermatitis and eczema|bacterial infection of unspecified site|other bacterial diseases|6
L50|A49|urticaria/pruritus (gatal-gatal)|urticaria and erythema|bacterial infection of unspecified site|other bacterial diseases|7
M79.1|A49|myalgia (nyeri otot|soft tissue disorders|bacterial infection of unspecified site|other bacterial diseases|7
N30.9|A49|urinary tract infections |other diseases of urinary system|bacterial infection of unspecified site|other bacterial diseases|6
N39.0|A49|urinary tract infection- site not specified|other diseases of urinary system|bacterial infection of unspecified site|other bacterial diseases|6
R05|A49|cough (batuk)|symptoms and signs involving the circulatory and respiratory systems|bacterial infection of unspecified site|other bacterial diseases|6
R10|A49|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|bacterial infection of unspecified site|other bacterial diseases|10
R10.0|A49|acute abdomen|symptoms and signs involving the digestive system and abdomen|bacterial infection of unspecified site|other bacterial diseases|10
R11|A49|nausea and vomiting (mual dan muntah)|symptoms and signs involving the digestive system and abdomen|bacterial infection of unspecified site|other bacterial diseases|81
R50|A49|fever of unknown origin|general symptoms and signs|bacterial infection of unspecified site|other bacterial diseases|12
R50.9|A49|fever|general symptoms and signs|bacterial infection of unspecified site|other bacterial diseases|649
R51|A49|headache ( cephalgia)|general symptoms and signs|bacterial infection of unspecified site|other bacterial diseases|11
R56|A49|convulsions|general symptoms and signs|bacterial infection of unspecified site|other bacterial diseases|7
R56.0|A49|febrile convulsions|general symptoms and signs|bacterial infection of unspecified site|other bacterial diseases|61
T14|A49|injury of unspecified body region|injuries to unspecified part of trunk, limb or body region|bacterial infection of unspecified site|other bacterial diseases|10
A09|A49.9|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|bacterial infection, unspecified|other bacterial diseases|9
R50.9|A49.9|fever|general symptoms and signs|bacterial infection, unspecified|other bacterial diseases|8
J02|N51.2|acute pharyngitis|acute upper respiratory infections|balanitis in diseases classified elsewhere|diseases of male genital organs|6
J06|N51.2|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|balanitis in diseases classified elsewhere|diseases of male genital organs|8
K40|N51.2|inguinal hernia|hernia|balanitis in diseases classified elsewhere|diseases of male genital organs|8
N30.9|N51.2|urinary tract infections |other diseases of urinary system|balanitis in diseases classified elsewhere|diseases of male genital organs|9
N39.0|N51.2|urinary tract infection- site not specified|other diseases of urinary system|balanitis in diseases classified elsewhere|diseases of male genital organs|14
N47|N51.2|redundant prepuce- phimosis and paraphimosis|diseases of male genital organs|balanitis in diseases classified elsewhere|diseases of male genital organs|22
J06|D36|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|benign neoplasm of other and unspecified sites|benign neoplasms|10
L04|D36|acute lymphadenitis|infections of the skin and subcutaneous tissue|benign neoplasm of other and unspecified sites|benign neoplasms|6
M79|D36|other soft tissue disorders|soft tissue disorders|benign neoplasm of other and unspecified sites|benign neoplasms|8
A09|H81.1|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|benign paroxysmal vertigo|diseases of inner ear|6
G44.2|H81.1|tension type headache|episodic and paroxysmal disorders|benign paroxysmal vertigo|diseases of inner ear|6
H82|H81.1|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|benign paroxysmal vertigo|diseases of inner ear|31
I10|H81.1|essential (primary) hypertension|hypertensive diseases|benign paroxysmal vertigo|diseases of inner ear|15
I15|H81.1|secondary hypertension|hypertensive diseases|benign paroxysmal vertigo|diseases of inner ear|15
J02|H81.1|acute pharyngitis|acute upper respiratory infections|benign paroxysmal vertigo|diseases of inner ear|11
J06|H81.1|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|benign paroxysmal vertigo|diseases of inner ear|17
K21.9|H81.1|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|benign paroxysmal vertigo|diseases of inner ear|8
K30|H81.1|dyspepsia|diseases of oesophagus, stomach and duodenum|benign paroxysmal vertigo|diseases of inner ear|34
R42|H81.1|dizziness and giddiness|symptoms and signs involving cognition, perception, emotional state and behaviour|benign paroxysmal vertigo|diseases of inner ear|6
R50.9|H81.1|fever|general symptoms and signs|benign paroxysmal vertigo|diseases of inner ear|10
R51|H81.1|headache ( cephalgia)|general symptoms and signs|benign paroxysmal vertigo|diseases of inner ear|19
M75.1|M75.2|rotator cuff syndrome|soft tissue disorders|bicipical tendinitis|soft tissue disorders|6
A09|W57|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|9
B34.9|W57|viral infection, unspecified|other viral diseases|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|6
H10|W57|conjunctivitis (infeksi conjunctiva)|disorders of conjunctiva|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|11
J00|W57|acute nasopharyngitis (common cold)|acute upper respiratory infections|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|17
J02|W57|acute pharyngitis|acute upper respiratory infections|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|22
J06|W57|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|51
J20|W57|acute bronchitis|other acute lower respiratory infections|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|10
L01|W57|impetigo|infections of the skin and subcutaneous tissue|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|6
L20|W57|atopic dermatitis|dermatitis and eczema|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|38
L21|W57|seborrhoic dermatitis (ketombe)|dermatitis and eczema|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|8
L23|W57|allergic contact dermatitis|dermatitis and eczema|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|16
L24|W57|irritant contact dermatitis|dermatitis and eczema|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|8
L30|W57|other dermatitis|dermatitis and eczema|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|71
L30.9|W57|dermatitis|dermatitis and eczema|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|10
L50|W57|urticaria/pruritus (gatal-gatal)|urticaria and erythema|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|17
L50.9|W57|urticaria|urticaria and erythema|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|8
N39.0|W57|urinary tract infection- site not specified|other diseases of urinary system|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|6
R50.9|W57|fever|general symptoms and signs|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|11
T14|W57|injury of unspecified body region|injuries to unspecified part of trunk, limb or body region|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|6
T78.4|W57|allergy|other and unspecified effects of external causes|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|8
Z24.0|W57|need immunization againts poliomyelitis (immunisasi polio)|persons with potential health hazards related to communicable diseases|bitten or stung by nonvenommous insect and other nonvenomous arthropods|accidents|11
H00|H01.0|hordeolum and chalazion|disorders of eyelid, lacrimal system and orbit|blepharitis|disorders of eyelid, lacrimal system and orbit|8
H10|H01.0|conjunctivitis (infeksi conjunctiva)|disorders of conjunctiva|blepharitis|disorders of eyelid, lacrimal system and orbit|20
J06|H01.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|blepharitis|disorders of eyelid, lacrimal system and orbit|13
L30|H01.0|other dermatitis|dermatitis and eczema|blepharitis|disorders of eyelid, lacrimal system and orbit|6
H10|H10.5|conjunctivitis (infeksi conjunctiva)|disorders of conjunctiva|blepharoconjunctivitis|disorders of conjunctiva|7
Z34|O02.0|supervision of normal pregnancy|persons encountering health services in circumstances related to reproduction|blighted ovum and nonhydatidiform mole|pregnancy with abortive outcome|14
A01.0|J40|typhoid fever |intestinal infectious diseases|bronchitis|chronic lower respiratory diseases|103
A09|J40|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|bronchitis|chronic lower respiratory diseases|45
A15.0|J40|tuberculosis of lung|tuberculosis|bronchitis|chronic lower respiratory diseases|25
A49|J40|bacterial infection of unspecified site|other bacterial diseases|bronchitis|chronic lower respiratory diseases|8
A90|J40|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|bronchitis|chronic lower respiratory diseases|17
A91|J40|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|bronchitis|chronic lower respiratory diseases|28
B34|J40|viral infection of unspecified sites|other viral diseases|bronchitis|chronic lower respiratory diseases|15
B34.9|J40|viral infection, unspecified|other viral diseases|bronchitis|chronic lower respiratory diseases|14
E11|J40|non-insulin-dependent diabetes mellitus|diabetes mellitus|bronchitis|chronic lower respiratory diseases|6
E13|J40|other specified diabetes mellitus|diabetes mellitus|bronchitis|chronic lower respiratory diseases|8
I15|J40|secondary hypertension|hypertensive diseases|bronchitis|chronic lower respiratory diseases|9
J00|J40|acute nasopharyngitis (common cold)|acute upper respiratory infections|bronchitis|chronic lower respiratory diseases|30
J01|J40|acute sinusitis|acute upper respiratory infections|bronchitis|chronic lower respiratory diseases|19
J02|J40|acute pharyngitis|acute upper respiratory infections|bronchitis|chronic lower respiratory diseases|233
J02.9|J40|acute pharyngitis|acute upper respiratory infections|bronchitis|chronic lower respiratory diseases|17
J03|J40|acute tonsilitis|acute upper respiratory infections|bronchitis|chronic lower respiratory diseases|31
J06|J40|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|bronchitis|chronic lower respiratory diseases|341
J06.8|J40|other acute upper respiratory infections of multiple sites|acute upper respiratory infections|bronchitis|chronic lower respiratory diseases|13
J06.9|J40|acute upper respiratory infection|acute upper respiratory infections|bronchitis|chronic lower respiratory diseases|6
J18|J40|pneumonia|influenza and pneumonia|bronchitis|chronic lower respiratory diseases|18
J18.0|J40|bronchopneumonia |influenza and pneumonia|bronchitis|chronic lower respiratory diseases|21
J20|J40|acute bronchitis|other acute lower respiratory infections|bronchitis|chronic lower respiratory diseases|10
J30|J40|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|bronchitis|chronic lower respiratory diseases|20
J30.4|J40|allergic rhinitis|other diseases of upper respiratory tract|bronchitis|chronic lower respiratory diseases|15
J31|J40|chronic rhinitis|other diseases of upper respiratory tract|bronchitis|chronic lower respiratory diseases|22
J31.2|J40|chronic pharyngitis|other diseases of upper respiratory tract|bronchitis|chronic lower respiratory diseases|7
J45|J40|asthma|chronic lower respiratory diseases|bronchitis|chronic lower respiratory diseases|153
J45.9|J40|asthma|chronic lower respiratory diseases|bronchitis|chronic lower respiratory diseases|9
K21.9|J40|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|bronchitis|chronic lower respiratory diseases|11
K29.7|J40|gastritis|diseases of oesophagus, stomach and duodenum|bronchitis|chronic lower respiratory diseases|11
K30|J40|dyspepsia|diseases of oesophagus, stomach and duodenum|bronchitis|chronic lower respiratory diseases|22
L30|J40|other dermatitis|dermatitis and eczema|bronchitis|chronic lower respiratory diseases|6
M79.1|J40|myalgia (nyeri otot|soft tissue disorders|bronchitis|chronic lower respiratory diseases|7
N39.0|J40|urinary tract infection- site not specified|other diseases of urinary system|bronchitis|chronic lower respiratory diseases|6
R05|J40|cough (batuk)|symptoms and signs involving the circulatory and respiratory systems|bronchitis|chronic lower respiratory diseases|16
R07.4|J40|chest pain|symptoms and signs involving the circulatory and respiratory systems|bronchitis|chronic lower respiratory diseases|10
R50.9|J40|fever|general symptoms and signs|bronchitis|chronic lower respiratory diseases|85
R51|J40|headache ( cephalgia)|general symptoms and signs|bronchitis|chronic lower respiratory diseases|12
R56.0|J40|febrile convulsions|general symptoms and signs|bronchitis|chronic lower respiratory diseases|8
Z24.0|J40|need immunization againts poliomyelitis (immunisasi polio)|persons with potential health hazards related to communicable diseases|bronchitis|chronic lower respiratory diseases|6
A01.0|J18.0|typhoid fever |intestinal infectious diseases|bronchopneumonia |influenza and pneumonia|191
A09|J18.0|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|bronchopneumonia |influenza and pneumonia|83
A15|J18.0|respiratory tuberculosis- bacteriologically and histologically confirmed|tuberculosis|bronchopneumonia |influenza and pneumonia|6
A15.0|J18.0|tuberculosis of lung|tuberculosis|bronchopneumonia |influenza and pneumonia|46
A49|J18.0|bacterial infection of unspecified site|other bacterial diseases|bronchopneumonia |influenza and pneumonia|22
A90|J18.0|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|bronchopneumonia |influenza and pneumonia|42
A91|J18.0|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|bronchopneumonia |influenza and pneumonia|67
B05|J18.0|measles (campak)|viral infections characterized by skin and mucous membrane lesions|bronchopneumonia |influenza and pneumonia|6
B34|J18.0|viral infection of unspecified sites|other viral diseases|bronchopneumonia |influenza and pneumonia|10
B34.9|J18.0|viral infection, unspecified|other viral diseases|bronchopneumonia |influenza and pneumonia|7
D64|J18.0|other anaemias|aplastic and other anaemias|bronchopneumonia |influenza and pneumonia|7
E13|J18.0|other specified diabetes mellitus|diabetes mellitus|bronchopneumonia |influenza and pneumonia|9
J00|J18.0|acute nasopharyngitis (common cold)|acute upper respiratory infections|bronchopneumonia |influenza and pneumonia|14
J01|J18.0|acute sinusitis|acute upper respiratory infections|bronchopneumonia |influenza and pneumonia|13
J01.0|J18.0|acute maxillary sinusitis|acute upper respiratory infections|bronchopneumonia |influenza and pneumonia|7
J02|J18.0|acute pharyngitis|acute upper respiratory infections|bronchopneumonia |influenza and pneumonia|45
J03|J18.0|acute tonsilitis|acute upper respiratory infections|bronchopneumonia |influenza and pneumonia|9
J06|J18.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|bronchopneumonia |influenza and pneumonia|199
J18.0|J18.0|bronchopneumonia |influenza and pneumonia|bronchopneumonia |influenza and pneumonia|7
J20|J18.0|acute bronchitis|other acute lower respiratory infections|bronchopneumonia |influenza and pneumonia|76
J21|J18.0|acute bronchiolitis|other acute lower respiratory infections|bronchopneumonia |influenza and pneumonia|11
J40|J18.0|bronchitis|chronic lower respiratory diseases|bronchopneumonia |influenza and pneumonia|22
J45|J18.0|asthma|chronic lower respiratory diseases|bronchopneumonia |influenza and pneumonia|77
J45.9|J18.0|asthma|chronic lower respiratory diseases|bronchopneumonia |influenza and pneumonia|7
K21.9|J18.0|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|bronchopneumonia |influenza and pneumonia|7
K30|J18.0|dyspepsia|diseases of oesophagus, stomach and duodenum|bronchopneumonia |influenza and pneumonia|37
M54.5|J18.0|low back pain (nyeri punggung)|dorsopathies|bronchopneumonia |influenza and pneumonia|6
N39.0|J18.0|urinary tract infection- site not specified|other diseases of urinary system|bronchopneumonia |influenza and pneumonia|8
R05|J18.0|cough (batuk)|symptoms and signs involving the circulatory and respiratory systems|bronchopneumonia |influenza and pneumonia|17
R06.0|J18.0|dyspnoe (sesak nafas )|symptoms and signs involving the circulatory and respiratory systems|bronchopneumonia |influenza and pneumonia|10
R11|J18.0|nausea and vomiting (mual dan muntah)|symptoms and signs involving the digestive system and abdomen|bronchopneumonia |influenza and pneumonia|6
R50|J18.0|fever of unknown origin|general symptoms and signs|bronchopneumonia |influenza and pneumonia|6
R50.9|J18.0|fever|general symptoms and signs|bronchopneumonia |influenza and pneumonia|112
R56.0|J18.0|febrile convulsions|general symptoms and signs|bronchopneumonia |influenza and pneumonia|29
J02|T30|acute pharyngitis|acute upper respiratory infections|burn and corrosion |burns and corrosions|11
J06|T30|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|burn and corrosion |burns and corrosions|33
L23|T30|allergic contact dermatitis|dermatitis and eczema|burn and corrosion |burns and corrosions|8
T14|T30|injury of unspecified body region|injuries to unspecified part of trunk, limb or body region|burn and corrosion |burns and corrosions|10
M15.0|M71.5|primary generalised (osteo)arthrosis|arthropathies|bursitis (not elsewhere classified)|soft tissue disorders|6
M54.5|M75.5|low back pain (nyeri punggung)|dorsopathies|bursitis of shulder|soft tissue disorders|7
M79.1|M75.5|myalgia (nyeri otot|soft tissue disorders|bursitis of shulder|soft tissue disorders|6
M79.1|M65.29|myalgia (nyeri otot|soft tissue disorders|calcific tendinitis|soft tissue disorders|6
S43.0|M65.29|dislocation of shoulder joint|injuries to the shoulder and upper arm|calcific tendinitis|soft tissue disorders|6
N39.0|N21.0|urinary tract infection- site not specified|other diseases of urinary system|calculus in bladder|urolithiasis|7
N39.0|N21.1|urinary tract infection- site not specified|other diseases of urinary system|calculus in urethra / urethrolithiasis|urolithiasis|13
E13|N20.0|other specified diabetes mellitus|diabetes mellitus|calculus of kidney|urolithiasis|8
J06|N20.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|calculus of kidney|urolithiasis|8
K30|N20.0|dyspepsia|diseases of oesophagus, stomach and duodenum|calculus of kidney|urolithiasis|11
K35|N20.0|acute appendicitis|diseases of appendix|calculus of kidney|urolithiasis|6
K80|N20.0|cholelithiasis|disorders of gallbladder, biliary tract and pancreas|calculus of kidney|urolithiasis|7
M54.5|N20.0|low back pain (nyeri punggung)|dorsopathies|calculus of kidney|urolithiasis|8
N13.2|N20.0|hydronephrosis with renal and ureteral calculous obstruction|renal tubulo-interstitial diseases|calculus of kidney|urolithiasis|7
N13.3|N20.0|other and unspecified hydronephrosis|renal tubulo-interstitial diseases|calculus of kidney|urolithiasis|6
N20|N20.0|calculus of kidney and ureter|urolithiasis|calculus of kidney|urolithiasis|6
N20.1|N20.0|calculus of ureter|urolithiasis|calculus of kidney|urolithiasis|28
N23|N20.0|unspecified renal colic|urolithiasis|calculus of kidney|urolithiasis|12
N30|N20.0|cystitis|other diseases of urinary system|calculus of kidney|urolithiasis|8
N30.9|N20.0|urinary tract infections |other diseases of urinary system|calculus of kidney|urolithiasis|9
N39.0|N20.0|urinary tract infection- site not specified|other diseases of urinary system|calculus of kidney|urolithiasis|16
R10|N20.0|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|calculus of kidney|urolithiasis|6
K30|N20|dyspepsia|diseases of oesophagus, stomach and duodenum|calculus of kidney and ureter|urolithiasis|13
K35|N20|acute appendicitis|diseases of appendix|calculus of kidney and ureter|urolithiasis|7
K80|N20|cholelithiasis|disorders of gallbladder, biliary tract and pancreas|calculus of kidney and ureter|urolithiasis|6
M54.5|N20|low back pain (nyeri punggung)|dorsopathies|calculus of kidney and ureter|urolithiasis|9
N13.2|N20|hydronephrosis with renal and ureteral calculous obstruction|renal tubulo-interstitial diseases|calculus of kidney and ureter|urolithiasis|10
N23|N20|unspecified renal colic|urolithiasis|calculus of kidney and ureter|urolithiasis|29
N30|N20|cystitis|other diseases of urinary system|calculus of kidney and ureter|urolithiasis|11
N30.9|N20|urinary tract infections |other diseases of urinary system|calculus of kidney and ureter|urolithiasis|14
N39.0|N20|urinary tract infection- site not specified|other diseases of urinary system|calculus of kidney and ureter|urolithiasis|53
R10|N20|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|calculus of kidney and ureter|urolithiasis|11
R10.0|N20|acute abdomen|symptoms and signs involving the digestive system and abdomen|calculus of kidney and ureter|urolithiasis|10
R31|N20|unspecified haematuria (kencing berdarah)|symptoms and signs involving the urinary system|calculus of kidney and ureter|urolithiasis|6
N13.2|N20.1|hydronephrosis with renal and ureteral calculous obstruction|renal tubulo-interstitial diseases|calculus of ureter|urolithiasis|20
N13.3|N20.1|other and unspecified hydronephrosis|renal tubulo-interstitial diseases|calculus of ureter|urolithiasis|8
N20.0|N20.1|calculus of kidney|urolithiasis|calculus of ureter|urolithiasis|20
N23|N20.1|unspecified renal colic|urolithiasis|calculus of ureter|urolithiasis|10
N39.0|N20.1|urinary tract infection- site not specified|other diseases of urinary system|calculus of ureter|urolithiasis|23
R10|N20.1|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|calculus of ureter|urolithiasis|6
A01.0|B37.0|typhoid fever |intestinal infectious diseases|candida stomatitis|mycoses|13
A09|B37.0|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|candida stomatitis|mycoses|25
B34.9|B37.0|viral infection, unspecified|other viral diseases|candida stomatitis|mycoses|6
J00|B37.0|acute nasopharyngitis (common cold)|acute upper respiratory infections|candida stomatitis|mycoses|25
J02|B37.0|acute pharyngitis|acute upper respiratory infections|candida stomatitis|mycoses|120
J03|B37.0|acute tonsilitis|acute upper respiratory infections|candida stomatitis|mycoses|25
J06|B37.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|candida stomatitis|mycoses|105
J06.8|B37.0|other acute upper respiratory infections of multiple sites|acute upper respiratory infections|candida stomatitis|mycoses|6
J20|B37.0|acute bronchitis|other acute lower respiratory infections|candida stomatitis|mycoses|9
J31|B37.0|chronic rhinitis|other diseases of upper respiratory tract|candida stomatitis|mycoses|6
R50.9|B37.0|fever|general symptoms and signs|candida stomatitis|mycoses|29
A09|B37|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|candidiasis|mycoses|25
B35.6|B37|tinea cruris|mycoses|candidiasis|mycoses|17
B37.3|B37|candidiasis of vulva and vagina (fluor albus)|mycoses|candidiasis|mycoses|10
J00|B37|acute nasopharyngitis (common cold)|acute upper respiratory infections|candidiasis|mycoses|14
J02|B37|acute pharyngitis|acute upper respiratory infections|candidiasis|mycoses|50
J06|B37|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|candidiasis|mycoses|52
J18.0|B37|bronchopneumonia |influenza and pneumonia|candidiasis|mycoses|6
J31|B37|chronic rhinitis|other diseases of upper respiratory tract|candidiasis|mycoses|6
K12|B37|stomatitis and related lesions|diseases of oral cavity, salivary glands and jaws|candidiasis|mycoses|10
L20|B37|atopic dermatitis|dermatitis and eczema|candidiasis|mycoses|13
L21|B37|seborrhoic dermatitis (ketombe)|dermatitis and eczema|candidiasis|mycoses|11
L22|B37|diaper [napkin] dermatitis|dermatitis and eczema|candidiasis|mycoses|6
L23|B37|allergic contact dermatitis|dermatitis and eczema|candidiasis|mycoses|19
